Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,CrdY,CrdR
Joel Castro Pereira,POR,GK,29-318,43,43,"3,870",43.0,57,1.33,171,116,67.3,7,16.3,1,0
Jack Stevens,ENG,GK,28-283,7,7,660,7.3,10,1.36,24,17,70.8,1,14.3,0,0
